date, Population, Annual Growth Rate
12/31/1950,543979233,
12/31/1951,553613988,1.77
12/31/1952,564954522,2.05
12/31/1953,577378682,2.2
12/31/1954,589936004,2.17
12/31/1955,603320147,2.27
12/31/1956,616283022,2.15
12/31/1957,630003025,2.23
12/31/1958,643791581,2.19
12/31/1959,652179194,1.3
12/31/1960,654170692,0.31
12/31/1961,655260380,0.17
12/31/1962,664614650,1.43
12/31/1963,683903557,2.9
12/31/1964,704593772,3.03
12/31/1965,723846349,2.73
12/31/1966,742948541,2.64
12/31/1967,761006260,2.43
12/31/1968,780371956,2.54
12/31/1969,801430976,2.7
12/31/1970,822534450,2.63
12/31/1971,843285424,2.52
12/31/1972,862840403,2.32
12/31/1973,881652080,2.18
12/31/1974,899367640,2.01
12/31/1975,915124661,1.75
12/31/1976,929375924,1.56
12/31/1977,942581333,1.42
12/31/1978,955138943,1.33
12/31/1979,968298969,1.38
12/31/1980,982372466,1.45
12/31/1981,997259502,1.52
12/31/1982,1013483166,1.63
12/31/1983,1029226907,1.55
12/31/1984,1044172197,1.45
12/31/1985,1060239979,1.54
12/31/1986,1077770523,1.65
12/31/1987,1096851843,1.77
12/31/1988,1115889802,1.74
12/31/1989,1134414723,1.66
12/31/1990,1153704252,1.7
12/31/1991,1170626171,1.47
12/31/1992,1183813389,1.13
12/31/1993,1195855558,1.02
12/31/1994,1207286675,0.96
12/31/1995,1218144426,0.9
12/31/1996,1228298836,0.83
12/31/1997,1237801448,0.77
12/31/1998,1246836105,0.73
12/31/1999,1255433236,0.69
12/31/2000,1264099069,0.69
12/31/2001,1272739582,0.68
12/31/2002,1280926120,0.64
12/31/2003,1288873367,0.62
12/31/2004,1296816711,0.62
12/31/2005,1304887562,0.62
12/31/2006,1313086567,0.63
12/31/2007,1321513224,0.64
12/31/2008,1330167148,0.65
12/31/2009,1339125595,0.67
12/31/2010,1348191368,0.68
12/31/2011,1357095481,0.66
12/31/2012,1366560818,0.7
12/31/2013,1376100308,0.7
12/31/2014,1385189668,0.66
12/31/2015,1393715448,0.62
12/31/2016,1401889681,0.59
12/31/2017,1410275957,0.6
12/31/2018,1417069468,0.48
12/31/2019,1421864031,0.34
12/31/2020,1424929781,0.22
12/31/2021,1425893465,0.07
12/31/2022,1425887337,0
12/31/2023,1425671352,-0.02
12/31/2024,1425178782,-0.03
12/31/2025,1424381924,-0.06
12/31/2026,1423255202,-0.08
12/31/2027,1421809059,-0.1
12/31/2028,1420045580,-0.12
12/31/2029,1417974640,-0.15
12/31/2030,1415605906,-0.17
12/31/2031,1412946005,-0.19
12/31/2032,1410012866,-0.21
12/31/2033,1406810379,-0.23
12/31/2034,1403314815,-0.25
12/31/2035,1399547500,-0.27
12/31/2036,1395546723,-0.29
12/31/2037,1391338420,-0.3
12/31/2038,1386952006,-0.32
12/31/2039,1382367124,-0.33
12/31/2040,1377556938,-0.35
12/31/2041,1372522398,-0.37
12/31/2042,1367267104,-0.38
12/31/2043,1361737252,-0.4
12/31/2044,1355912820,-0.43
12/31/2045,1349756901,-0.45
12/31/2046,1343210240,-0.49
12/31/2047,1336262908,-0.52
12/31/2048,1328873607,-0.55
12/31/2049,1321004205,-0.59
12/31/2050,1312636325,-0.63
12/31/2051,1303756600,-0.68
12/31/2052,1294381091,-0.72
12/31/2053,1284539877,-0.76
12/31/2054,1274244756,-0.8
12/31/2055,1263512555,-0.84
12/31/2056,1252371989,-0.88
12/31/2057,1240879992,-0.92
12/31/2058,1229126156,-0.95
12/31/2059,1217157937,-0.97
12/31/2060,1205020650,-1
12/31/2061,1192805228,-1.01
12/31/2062,1180553369,-1.03
12/31/2063,1168316258,-1.04
12/31/2064,1156145638,-1.04
12/31/2065,1144050917,-1.05
12/31/2066,1132053398,-1.05
12/31/2067,1120182122,-1.05
12/31/2068,1108424585,-1.05
12/31/2069,1096787141,-1.05
12/31/2070,1085287617,-1.05
12/31/2071,1073902382,-1.05
12/31/2072,1062612890,-1.05
12/31/2073,1051380906,-1.06
12/31/2074,1040194852,-1.06
12/31/2075,1029035605,-1.07
12/31/2076,1017860468,-1.09
12/31/2077,1006663149,-1.1
12/31/2078,995438005,-1.12
12/31/2079,984185394,-1.13
12/31/2080,972906892,-1.15
12/31/2081,961612985,-1.16
12/31/2082,950338414,-1.17
12/31/2083,939100122,-1.18
12/31/2084,927912386,-1.19
12/31/2085,916808802,-1.2
12/31/2086,905821025,-1.2
12/31/2087,894960252,-1.2
12/31/2088,884243881,-1.2
12/31/2089,873694710,-1.19
12/31/2090,863319535,-1.19
12/31/2091,853111777,-1.18
12/31/2092,843067032,-1.18
12/31/2093,833162188,-1.17
12/31/2094,823380978,-1.17
12/31/2095,813718728,-1.17
12/31/2096,804153594,-1.18
12/31/2097,794673479,-1.18
12/31/2098,785270314,-1.18
12/31/2099,775944429,-1.19
12/31/2100,766673270,-1.19
