date, Life Expectancy from Birth (Years), Annual % Change
12/31/1950,43.446,
12/31/1951,43.574,0.29
12/31/1952,43.702,0.29
12/31/1953,43.83,0.29
12/31/1954,43.958,0.29
12/31/1955,44.086,0.29
12/31/1956,44.214,0.29
12/31/1957,44.342,0.29
12/31/1958,44.47,0.29
12/31/1959,44.486,0.04
12/31/1960,44.502,0.04
12/31/1961,44.518,0.04
12/31/1962,44.534,0.04
12/31/1963,44.55,0.04
12/31/1964,46.734,4.9
12/31/1965,48.918,4.67
12/31/1966,51.102,4.46
12/31/1967,53.286,4.27
12/31/1968,55.47,4.1
12/31/1969,56.71,2.24
12/31/1970,57.95,2.19
12/31/1971,59.19,2.14
12/31/1972,60.43,2.09
12/31/1973,61.67,2.05
12/31/1974,62.438,1.25
12/31/1975,63.206,1.23
12/31/1976,63.974,1.22
12/31/1977,64.742,1.2
12/31/1978,65.51,1.19
12/31/1979,65.958,0.68
12/31/1980,66.406,0.68
12/31/1981,66.854,0.67
12/31/1982,67.302,0.67
12/31/1983,67.75,0.67
12/31/1984,67.984,0.35
12/31/1985,68.218,0.34
12/31/1986,68.452,0.34
12/31/1987,68.686,0.34
12/31/1988,68.92,0.34
12/31/1989,69.01,0.13
12/31/1990,69.1,0.13
12/31/1991,69.19,0.13
12/31/1992,69.28,0.13
12/31/1993,69.37,0.13
12/31/1994,69.612,0.35
12/31/1995,69.854,0.35
12/31/1996,70.096,0.35
12/31/1997,70.338,0.35
12/31/1998,70.58,0.34
12/31/1999,70.916,0.48
12/31/2000,71.252,0.47
12/31/2001,71.588,0.47
12/31/2002,71.924,0.47
12/31/2003,72.26,0.47
12/31/2004,72.544,0.39
12/31/2005,72.828,0.39
12/31/2006,73.112,0.39
12/31/2007,73.396,0.39
12/31/2008,73.68,0.39
12/31/2009,73.972,0.4
12/31/2010,74.264,0.39
12/31/2011,74.556,0.39
12/31/2012,74.848,0.39
12/31/2013,75.14,0.39
12/31/2014,75.436,0.39
12/31/2015,75.732,0.39
12/31/2016,76.028,0.39
12/31/2017,76.324,0.39
12/31/2018,76.62,0.39
12/31/2019,76.79,0.22
12/31/2020,76.96,0.22
12/31/2021,77.13,0.22
12/31/2022,77.3,0.22
12/31/2023,77.47,0.22
12/31/2024,77.638,0.22
12/31/2025,77.806,0.22
12/31/2026,77.974,0.22
12/31/2027,78.142,0.22
12/31/2028,78.31,0.21
12/31/2029,78.474,0.21
12/31/2030,78.638,0.21
12/31/2031,78.802,0.21
12/31/2032,78.966,0.21
12/31/2033,79.13,0.21
12/31/2034,79.292,0.2
12/31/2035,79.454,0.2
12/31/2036,79.616,0.2
12/31/2037,79.778,0.2
12/31/2038,79.94,0.2
12/31/2039,80.098,0.2
12/31/2040,80.256,0.2
12/31/2041,80.414,0.2
12/31/2042,80.572,0.2
12/31/2043,80.73,0.2
12/31/2044,80.888,0.2
12/31/2045,81.046,0.2
12/31/2046,81.204,0.19
12/31/2047,81.362,0.19
12/31/2048,81.52,0.19
12/31/2049,81.672,0.19
12/31/2050,81.824,0.19
12/31/2051,81.976,0.19
12/31/2052,82.128,0.19
12/31/2053,82.28,0.19
12/31/2054,82.428,0.18
12/31/2055,82.576,0.18
12/31/2056,82.724,0.18
12/31/2057,82.872,0.18
12/31/2058,83.02,0.18
12/31/2059,83.16,0.17
12/31/2060,83.3,0.17
12/31/2061,83.44,0.17
12/31/2062,83.58,0.17
12/31/2063,83.72,0.17
12/31/2064,83.848,0.15
12/31/2065,83.976,0.15
12/31/2066,84.104,0.15
12/31/2067,84.232,0.15
12/31/2068,84.36,0.15
12/31/2069,84.48,0.14
12/31/2070,84.6,0.14
12/31/2071,84.72,0.14
12/31/2072,84.84,0.14
12/31/2073,84.96,0.14
12/31/2074,85.072,0.13
12/31/2075,85.184,0.13
12/31/2076,85.296,0.13
12/31/2077,85.408,0.13
12/31/2078,85.52,0.13
12/31/2079,85.624,0.12
12/31/2080,85.728,0.12
12/31/2081,85.832,0.12
12/31/2082,85.936,0.12
12/31/2083,86.04,0.12
12/31/2084,86.144,0.12
12/31/2085,86.248,0.12
12/31/2086,86.352,0.12
12/31/2087,86.456,0.12
12/31/2088,86.56,0.12
12/31/2089,86.664,0.12
12/31/2090,86.768,0.12
12/31/2091,86.872,0.12
12/31/2092,86.976,0.12
12/31/2093,87.08,0.12
12/31/2094,87.186,0.12
12/31/2095,87.292,0.12
12/31/2096,87.398,0.12
12/31/2097,87.504,0.12
12/31/2098,87.61,0.12
12/31/2099,87.716,0.12
12/31/2100,87.822,0.12
