Time,GDP per capita (constant 2015 US$)
1960,238.2
1961,175.0
1962,163.9
1963,176.4
1964,203.7
1965,232.6
1966,250.3
1967,229.9
1968,214.8
1969,244.4
1970,283.6
1971,295.4
1972,299.2
1973,315.1
1974,315.8
1975,337.3
1976,326.9
1977,346.9
1978,381.1
1979,404.6
1980,430.9
1981,447.1
1982,480.3
1983,524.4
1984,596.2
1985,667.1
1986,716.1
1987,786.9
1988,861.2
1989,883.8
1990,905.0
1991,975.5
1992,1100.6
1993,1239.1
1994,1384.9
1995,1520.0
1996,1653.4
1997,1787.8
1998,1909.6
1999,2038.2
2000,2193.9
2001,2359.6
2002,2557.9
2003,2797.2
2004,3061.8
2005,3390.7
2006,3800.8
2007,4319.0
2008,4711.6
2009,5128.9
2010,5647.1
2011,6152.7
2012,6591.7
2013,7056.4
2014,7532.8
2015,8016.4
2016,8516.5
2017,9053.2
2018,9619.2
2019,10155.5
2020,10358.3
2021,11008.2
2022,10358.6
